Site,State,Date,Year,SolarDay,Period,EC,Number,Taxa,Mass
Asparagus,ME,9/4/2015,2015,257,4,control,1,Spider,0.004
Asparagus,ME,9/4/2015,2015,257,4,excolsure,2,Spider,0.006
Asparagus,ME,9/4/2015,2015,257,4,control,2,Spider,0.002
Bunny,ME,9/4/2015,2015,257,4,excolsure,1,Spider,0.026
Bunny,ME,9/4/2015,2015,257,4,control,1,Spider,0.012
Bunny,ME,9/4/2015,2015,257,4,excolsure,2,Spider,0.024
Bunny,ME,9/4/2015,2015,257,4,control,2,Spider,0.018
Bunny,ME,9/4/2015,2015,257,4,excolsure,3,Spider,0.029
Bunny,ME,9/4/2015,2015,257,4,control,3,Spider,0.02
Asparagus,ME,9/15/2015,2015,268,4,excolsure,3,Spider,0.009
Asparagus,ME,9/15/2015,2015,268,4,control,3,Spider,0.003
Bunny,ME,5/28/2014,2014,158,1,excolsure,1,Hemiptera,0.054
Bunny,ME,5/28/2014,2014,158,1,control,1,Hemiptera,0.006
Bunny,ME,5/28/2014,2014,158,1,excolsure,2,Hemiptera,0
Bunny,ME,5/28/2014,2014,158,1,control,2,Hemiptera,0.002
Asparagus,ME,5/28/2014,2014,158,1,excolsure,1,Hemiptera,0
Asparagus,ME,5/28/2014,2014,158,1,control,1,Hemiptera,0
Asparagus,ME,5/28/2014,2014,158,1,excolsure,2,Hemiptera,0
Asparagus,ME,5/28/2014,2014,158,1,control,2,Hemiptera,0.02
Bunny,ME,5/28/2014,2014,158,1,excolsure,3,Hemiptera,0.001
Bunny,ME,5/28/2014,2014,158,1,control,3,Hemiptera,0
Asparagus,ME,5/28/2014,2014,158,1,excolsure,3,Hemiptera,0
Asparagus,ME,5/28/2014,2014,158,1,control,3,Hemiptera,0.001
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,1,Hemiptera,0.033
Rachel Carson,ME,6/6/2014,2014,167,1,control,1,Hemiptera,0.007
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,2,Hemiptera,0.047
Rachel Carson,ME,6/6/2014,2014,167,1,control,2,Hemiptera,0.012
Chapman,ME,6/6/2014,2014,167,1,excolsure,1,Hemiptera,0.001
Chapman,ME,6/6/2014,2014,167,1,control,1,Hemiptera,0
Chapman,ME,6/6/2014,2014,167,1,excolsure,2,Hemiptera,0.001
Chapman,ME,6/6/2014,2014,167,1,control,2,Hemiptera,0
Rachel Carson,ME,6/6/2014,2014,167,1,excolsure,3,Hemiptera,0.035
Rachel Carson,ME,6/6/2014,2014,167,1,control,3,Hemiptera,0.011
Chapman,NH,6/6/2014,2014,167,1,excolsure,3,Hemiptera,0
Chapman,NH,6/6/2014,2014,167,1,control,3,Hemiptera,0
Barn Island,CT,6/10/2014,2014,171,1,excolsure,1,Hemiptera,0.019
Barn Island,CT,6/10/2014,2014,171,1,control,1,Hemiptera,0.01
Barn Island,CT,6/10/2014,2014,171,1,excolsure,2,Hemiptera,0.01
Barn Island,CT,6/10/2014,2014,171,1,control,2,Hemiptera,0.008
Barn Island,CT,6/10/2014,2014,171,1,excolsure,3,Hemiptera,0.026
Barn Island,CT,6/10/2014,2014,171,1,control,3,Hemiptera,0.01
Hammo,CT,6/11/2014,2014,172,1,excolsure,1,Hemiptera,0.014
Hammo,CT,6/11/2014,2014,172,1,control,1,Hemiptera,0.003
Hammo,CT,6/11/2014,2014,172,1,excolsure,2,Hemiptera,0.01
Hammo,CT,6/11/2014,2014,172,1,control,2,Hemiptera,0.004
Sachuest,RI,6/11/2014,2014,172,1,excolsure,1,Hemiptera,0.005
Sachuest,RI,6/11/2014,2014,172,1,control,1,Hemiptera,0
Sachuest,RI,6/11/2014,2014,172,1,excolsure,2,Hemiptera,0.003
Sachuest,RI,6/11/2014,2014,172,1,control,2,Hemiptera,0.003
Hammo,CT,6/11/2014,2014,172,1,excolsure,3,Hemiptera,0.01
Hammo,CT,6/11/2014,2014,172,1,control,3,Hemiptera,0.024
Sachuest,RI,6/11/2014,2014,172,1,excolsure,3,Hemiptera,0.016
Sachuest,RI,6/11/2014,2014,172,1,control,3,Hemiptera,0.003
Forsythe,NJ,6/12/2014,2014,173,1,excolsure,1,Hemiptera,0.017
Forsythe,NJ,6/12/2014,2014,173,1,control,1,Hemiptera,0.023
Forsythe,NJ,6/12/2014,2014,173,1,excolsure,2,Hemiptera,0.028
Forsythe,NJ,6/12/2014,2014,173,1,control,2,Hemiptera,0.025
Forsythe,NJ,6/12/2014,2014,173,1,excolsure,3,Hemiptera,0.052
Forsythe,NJ,6/12/2014,2014,173,1,control,3,Hemiptera,0.022
Asparagus,ME,6/27/2014,2014,188,2,excolsure,1,Hemiptera,0.001
Asparagus,ME,6/27/2014,2014,188,2,control,1,Hemiptera,0.006
Asparagus,ME,6/27/2014,2014,188,2,excolsure,2,Hemiptera,0.003
Asparagus,ME,6/27/2014,2014,188,2,control,2,Hemiptera,0.001
Bunny,ME,6/27/2014,2014,188,2,excolsure,1,Hemiptera,0.001
Bunny,ME,6/27/2014,2014,188,2,control,1,Hemiptera,0.002
Bunny,ME,6/27/2014,2014,188,2,excolsure,2,Hemiptera,0
Bunny,ME,6/27/2014,2014,188,2,control,2,Hemiptera,0
Bunny,ME,6/27/2014,2014,188,2,excolsure,3,Hemiptera,0
Bunny,ME,6/27/2014,2014,188,2,control,3,Hemiptera,0
Asparagus,ME,6/27/2014,2014,188,2,excolsure,3,Hemiptera,0.001
Asparagus,ME,6/27/2014,2014,188,2,control,3,Hemiptera,0.001
Rachel Carson,ME,6/28/2014,2014,189,2,excolsure,1,Hemiptera,0
Rachel Carson,ME,6/28/2014,2014,189,2,control,1,Hemiptera,0
Rachel Carson,ME,6/28/2014,2014,189,2,excolsure,2,Hemiptera,0
Rachel Carson,ME,6/28/2014,2014,189,2,control,2,Hemiptera,0
Chapman,NH,6/28/2014,2014,189,2,excolsure,2,Hemiptera,0
Chapman,NH,6/28/2014,2014,189,2,control,2,Hemiptera,0.002
Chapman,NH,6/28/2014,2014,189,2,excolsure,3,Hemiptera,0.001
Chapman,NH,6/28/2014,2014,189,2,control,3,Hemiptera,0.001
Rachel Carson,ME,6/28/2014,2014,189,2,excolsure,3,Hemiptera,0
Rachel Carson,ME,6/28/2014,2014,189,2,control,3,Hemiptera,0
Barn Island,CT,6/30/2014,2014,191,2,excolsure,1,Hemiptera,0
Barn Island,CT,6/30/2014,2014,191,2,control,1,Hemiptera,0.001
Barn Island,CT,6/30/2014,2014,191,2,excolsure,2,Hemiptera,0
Barn Island,CT,6/30/2014,2014,191,2,control,2,Hemiptera,0
Sachuest,RI,6/30/2014,2014,191,2,excolsure,1,Hemiptera,0.001
Sachuest,RI,6/30/2014,2014,191,2,control,1,Hemiptera,0.001
Sachuest,RI,6/30/2014,2014,191,2,excolsure,2,Hemiptera,0
Sachuest,RI,6/30/2014,2014,191,2,control,2,Hemiptera,0.001
Sachuest,RI,6/30/2014,2014,191,2,excolsure,3,Hemiptera,0
Sachuest,RI,6/30/2014,2014,191,2,control,3,Hemiptera,0.001
Hammo,CT,7/1/2014,2014,192,2,excolsure,1,Hemiptera,0.001
Hammo,CT,7/1/2014,2014,192,2,control,1,Hemiptera,0.002
Hammo,CT,7/1/2014,2014,192,2,excolsure,2,Hemiptera,0.002
Hammo,CT,7/1/2014,2014,192,2,control,2,Hemiptera,0.002
Forsythe,NJ,7/1/2014,2014,192,2,excolsure,1,Hemiptera,0.002
Forsythe,NJ,7/1/2014,2014,192,2,control,1,Hemiptera,0.002
Forsythe,NJ,7/1/2014,2014,192,2,excolsure,2,Hemiptera,0.003
Forsythe,NJ,7/1/2014,2014,192,2,control,2,Hemiptera,0.002
Hammo,CT,7/1/2014,2014,192,2,excolsure,3,Hemiptera,0.003
Hammo,CT,7/1/2014,2014,192,2,control,3,Hemiptera,0.001
Forsythe,NJ,7/1/2014,2014,192,2,excolsure,3,Hemiptera,0.005
Forsythe,NJ,7/1/2014,2014,192,2,control,3,Hemiptera,0.005
Asparagus,ME,7/30/2014,2014,221,3,excolsure,1,Hemiptera,0.012
Asparagus,ME,7/30/2014,2014,221,3,control,1,Hemiptera,0.009
Asparagus,ME,7/30/2014,2014,221,3,excolsure,2,Hemiptera,0.007
Asparagus,ME,7/30/2014,2014,221,3,control,2,Hemiptera,0.02
Bunny,ME,7/30/2014,2014,221,3,excolsure,2,Hemiptera,0.03
Bunny,ME,7/30/2014,2014,221,3,control,2,Hemiptera,0.021
Bunny,ME,7/30/2014,2014,221,3,excolsure,3,Hemiptera,0.019
Bunny,ME,7/30/2014,2014,221,3,control,3,Hemiptera,0.01
Asparagus,ME,7/30/2014,2014,221,3,excolsure,3,Hemiptera,0.007
Asparagus,ME,7/30/2014,2014,221,3,control,3,Hemiptera,0.016
Bunny,ME,7/30/2014,2014,221,3,excolsure,1,Hemiptera,0.023
Bunny,ME,7/30/2014,2014,221,3,control,1,Hemiptera,0.015
Chapman,NH,7/31/2014,2014,222,3,excolsure,1,Hemiptera,0.019
Chapman,NH,7/31/2014,2014,222,3,control,1,Hemiptera,0.015
Chapman,NH,7/31/2014,2014,222,3,excolsure,3,Hemiptera,0.031
Chapman,NH,7/31/2014,2014,222,3,control,3,Hemiptera,0.014
Rachel Carson,ME,7/31/2014,2014,222,3,excolsure,2,Hemiptera,0.046
Rachel Carson,ME,7/31/2014,2014,222,3,control,2,Hemiptera,0.031
Rachel Carson,ME,7/31/2014,2014,222,3,excolsure,3,Hemiptera,0.053
Rachel Carson,ME,7/31/2014,2014,222,3,control,3,Hemiptera,0.011
Chapman,NH,7/31/2014,2014,222,3,excolsure,2,Hemiptera,0.004
Chapman,NH,7/31/2014,2014,222,3,control,2,Hemiptera,0.026
Rachel Carson,ME,7/31/2014,2014,222,3,excolsure,1,Hemiptera,0.095
Rachel Carson,ME,7/31/2014,2014,222,3,control,1,Hemiptera,0.012
Barn Island,CT,8/4/2014,2014,226,3,excolsure,1,Hemiptera,0.006
Barn Island,CT,8/4/2014,2014,226,3,control,1,Hemiptera,0.005
Barn Island,CT,8/4/2014,2014,226,3,excolsure,3,Hemiptera,0.007
Barn Island,CT,8/4/2014,2014,226,3,control,3,Hemiptera,0.006
Sachuest,RI,8/4/2014,2014,226,3,excolsure,2,Hemiptera,0.065
Sachuest,RI,8/4/2014,2014,226,3,control,2,Hemiptera,0.002
Sachuest,RI,8/4/2014,2014,226,3,excolsure,3,Hemiptera,0.001
Sachuest,RI,8/4/2014,2014,226,3,control,3,Hemiptera,0.001
Sachuest,RI,8/4/2014,2014,226,3,excolsure,1,Hemiptera,0
Sachuest,RI,8/4/2014,2014,226,3,control,1,Hemiptera,0.002
Hammo,CT,8/4/2014,2014,226,3,excolsure,1,Hemiptera,0.054
Hammo,CT,8/4/2014,2014,226,3,control,1,Hemiptera,0.031
Barn Island,CT,8/4/2014,2014,226,3,excolsure,2,Hemiptera,0.004
Forsythe,NJ,8/5/2014,2014,227,3,excolsure,1,Hemiptera,0.003
Forsythe,NJ,8/5/2014,2014,227,3,control,1,Hemiptera,0.004
Forsythe,NJ,8/5/2014,2014,227,3,excolsure,2,Hemiptera,0.004
Forsythe,NJ,8/5/2014,2014,227,3,control,2,Hemiptera,0.005
Hammo,CT,8/5/2014,2014,227,3,excolsure,2,Hemiptera,0.04
Hammo,CT,8/5/2014,2014,227,3,control,2,Hemiptera,0.044
Hammo,CT,8/5/2014,2014,227,3,excolsure,3,Hemiptera,0.05
Hammo,CT,8/5/2014,2014,227,3,control,3,Hemiptera,0.004
Forsythe,NJ,8/5/2014,2014,227,3,excolsure,3,Hemiptera,0.003
Forsythe,NJ,8/5/2014,2014,227,3,control,3,Hemiptera,0.012
Asparagus,ME,8/19/2014,2014,241,4,excolsure,1,Hemiptera,0.002
Asparagus,ME,8/19/2014,2014,241,4,control,1,Hemiptera,0.002
Asparagus,ME,8/19/2014,2014,241,4,excolsure,2,Hemiptera,0
Asparagus,ME,8/19/2014,2014,241,4,control,2,Hemiptera,0
Bunny,ME,8/19/2014,2014,241,4,excolsure,1,Hemiptera,0.014
Bunny,ME,8/19/2014,2014,241,4,control,1,Hemiptera,0.002
Bunny,ME,8/19/2014,2014,241,4,excolsure,2,Hemiptera,0.007
Bunny,ME,8/19/2014,2014,241,4,control,2,Hemiptera,0.002
Bunny,ME,8/19/2014,2014,241,4,excolsure,3,Hemiptera,0.007
Bunny,ME,8/19/2014,2014,241,4,control,3,Hemiptera,0.005
Asparagus,ME,8/19/2014,2014,241,4,excolsure,3,Hemiptera,0.002
Asparagus,ME,8/19/2014,2014,241,4,control,3,Hemiptera,0.001
Rachel Carson,ME,8/20/2014,2014,242,4,excolsure,2,Hemiptera,0.1
Rachel Carson,ME,8/20/2014,2014,242,4,control,2,Hemiptera,0.04
Rachel Carson,ME,8/20/2014,2014,242,4,excolsure,1,Hemiptera,0.067
Rachel Carson,ME,8/20/2014,2014,242,4,control,1,Hemiptera,0.081
Rachel Carson,ME,8/20/2014,2014,242,4,excolsure,3,Hemiptera,0.127
Rachel Carson,ME,8/20/2014,2014,242,4,control,3,Hemiptera,0.065
Chapman,NH,8/20/2014,2014,242,4,excolsure,2,Hemiptera,0.015
Chapman,NH,8/20/2014,2014,242,4,control,2,Hemiptera,0.019
Chapman,NH,8/20/2014,2014,242,4,excolsure,3,Hemiptera,0.009
Chapman,NH,8/20/2014,2014,242,4,control,3,Hemiptera,0.014
Chapman,NH,8/20/2014,2014,242,4,excolsure,1,Hemiptera,0.015
Chapman,NH,8/20/2014,2014,242,4,control,1,Hemiptera,0.022
Sachuest,RI,8/22/2014,2014,244,4,excolsure,3,Hemiptera,0.004
Sachuest,RI,8/22/2014,2014,244,4,control,3,Hemiptera,0.001
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,2,Hemiptera,0.002
Forsythe,NJ,8/25/2014,2014,247,4,control,2,Hemiptera,0.005
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,3,Hemiptera,0.002
Forsythe,NJ,8/25/2014,2014,247,4,control,3,Hemiptera,0.003
Forsythe,NJ,8/25/2014,2014,247,4,excolsure,1,Hemiptera,0.002
Forsythe,NJ,8/25/2014,2014,247,4,control,1,Hemiptera,0.003
Barn Island,CT,8/26/2014,2014,248,4,excolsure,2,Hemiptera,0
Barn Island,CT,8/26/2014,2014,248,4,control,1,Hemiptera,0.002
Barn Island,CT,8/26/2014,2014,248,4,excolsure,3,Hemiptera,0.001
Hammo,CT,8/26/2014,2014,248,4,excolsure,2,Hemiptera,0.006
Hammo,CT,8/26/2014,2014,248,4,control,2,Hemiptera,0.008
Hammo,CT,8/26/2014,2014,248,4,excolsure,3,Hemiptera,0.005
Hammo,CT,8/26/2014,2014,248,4,control,3,Hemiptera,0.004
Hammo,CT,8/26/2014,2014,248,4,excolsure,1,Hemiptera,0.005
Hammo,CT,8/26/2014,2014,248,4,control,1,Hemiptera,0.002
Barn Island,CT,8/26/2014,2014,248,4,excolsure,2,Hemiptera,0.001
Barn Island,CT,8/26/2014,2014,248,4,control,2,Hemiptera,0
Sachuest,RI,8/27/2014,2014,249,4,excolsure,2,Hemiptera,0.005
Sachuest,RI,8/27/2014,2014,249,4,control,2,Hemiptera,0.001
Sachuest,RI,8/27/2014,2014,249,4,excolsure,1,Hemiptera,0.005
Sachuest,RI,8/27/2014,2014,249,4,control,1,Hemiptera,0.002
Bunny,ME,5/18/2015,2015,148,1,excolsure,1,Hemiptera,0.082
Bunny,ME,5/18/2015,2015,148,1,control,1,Hemiptera,0.034
Bunny,ME,5/18/2015,2015,148,1,excolsure,2,Hemiptera,0
Bunny,ME,5/18/2015,2015,148,1,control,2,Hemiptera,0.001
Bunny,ME,5/18/2015,2015,148,1,excolsure,3,Hemiptera,0
Bunny,ME,5/18/2015,2015,148,1,control,3,Hemiptera,0.002
Chapman,NH,5/21/2015,2015,151,1,excolsure,1,Hemiptera,0.003
Chapman,ME,5/21/2015,2015,151,1,control,1,Hemiptera,0.004
Chapman,ME,5/21/2015,2015,151,1,excolsure,2,Hemiptera,0.003
Chapman,ME,5/21/2015,2015,151,1,control,2,Hemiptera,0.006
Chapman,NH,5/21/2015,2015,151,1,excolsure,3,Hemiptera,0.001
Chapman,NH,5/21/2015,2015,151,1,control,3,Hemiptera,0.002
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,1,Hemiptera,0.018
Rachel Carson,ME,5/22/2015,2015,152,1,control,1,Hemiptera,0.025
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,2,Hemiptera,0.016
Rachel Carson,ME,5/22/2015,2015,152,1,control,2,Hemiptera,0.018
Rachel Carson,ME,5/22/2015,2015,152,1,excolsure,3,Hemiptera,0.023
Rachel Carson,ME,5/22/2015,2015,152,1,control,3,Hemiptera,0.022
Asparagus,ME,5/27/2015,2015,157,1,excolsure,1,Hemiptera,0
Asparagus,ME,5/27/2015,2015,157,1,control,1,Hemiptera,0
Asparagus,ME,5/27/2015,2015,157,1,excolsure,2,Hemiptera,0.001
Asparagus,ME,5/27/2015,2015,157,1,control,2,Hemiptera,0.001
Asparagus,ME,5/27/2015,2015,157,1,excolsure,3,Hemiptera,0
Asparagus,ME,5/27/2015,2015,157,1,control,3,Hemiptera,0
Hammo,CT,6/3/2015,2015,164,1,excolsure,1,Hemiptera,0.034
Hammo,CT,6/3/2015,2015,164,1,control,1,Hemiptera,0.001
Hammo,CT,6/3/2015,2015,164,1,excolsure,2,Hemiptera,0.007
Hammo,CT,6/3/2015,2015,164,1,control,2,Hemiptera,0
Hammo,CT,6/3/2015,2015,164,1,excolsure,3,Hemiptera,0
Hammo,CT,6/3/2015,2015,164,1,control,3,Hemiptera,0
Barn Island,CT,6/4/2015,2015,165,1,excolsure,1,Hemiptera,0.003
Barn Island,CT,6/4/2015,2015,165,1,control,1,Hemiptera,0.002
Barn Island,CT,6/4/2015,2015,165,1,excolsure,2,Hemiptera,0.002
Barn Island,CT,6/4/2015,2015,165,1,control,2,Hemiptera,0.009
Barn Island,CT,6/4/2015,2015,165,1,excolsure,3,Hemiptera,0.006
Barn Island,CT,6/4/2015,2015,165,1,control,3,Hemiptera,0.003
Sachuest,RI,6/5/2015,2015,166,1,excolsure,1,Hemiptera,0
Sachuest,RI,6/5/2015,2015,166,1,control,1,Hemiptera,0
Sachuest,RI,6/5/2015,2015,166,1,excolsure,2,Hemiptera,0.001
Sachuest,RI,6/5/2015,2015,166,1,control,2,Hemiptera,0.017
Sachuest,RI,6/5/2015,2015,166,1,excolsure,3,Hemiptera,0.001
Sachuest,RI,6/5/2015,2015,166,1,control,3,Hemiptera,0.002
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,1,Hemiptera,0.007
Forsythe,NJ,6/10/2015,2015,171,1,control,1,Hemiptera,0.013
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,2,Hemiptera,0.01
Forsythe,NJ,6/10/2015,2015,171,1,control,2,Hemiptera,0.012
Forsythe,NJ,6/10/2015,2015,171,1,excolsure,3,Hemiptera,0.069
Forsythe,NJ,6/10/2015,2015,171,1,control,3,Hemiptera,0.009
Rachel Carson,ME,6/24/2015,2015,185,2,excolsure,1,Hemiptera,0.006
Rachel Carson,ME,6/24/2015,2015,185,2,control,1,Hemiptera,0.026
Rachel Carson,ME,6/24/2015,2015,185,2,excolsure,2,Hemiptera,0.009
Rachel Carson,ME,6/24/2015,2015,185,2,control,2,Hemiptera,0.023
Chapman,NH,6/24/2015,2015,185,2,excolsure,2,Hemiptera,0.025
Chapman,NH,6/24/2015,2015,185,2,control,2,Hemiptera,0.013
Chapman,NH,6/24/2015,2015,185,2,excolsure,3,Hemiptera,0.018
Chapman,NH,6/24/2015,2015,185,2,control,3,Hemiptera,0.01
Chapman,NH,6/24/2015,2015,185,2,excolsure,1,Hemiptera,0.026
Chapman,NH,6/24/2015,2015,185,2,control,1,Hemiptera,0.009
Asparagus,ME,6/25/2015,2015,186,2,excolsure,1,Hemiptera,0.002
Asparagus,ME,6/25/2015,2015,186,2,control,1,Hemiptera,0.002
Asparagus,ME,6/25/2015,2015,186,2,excolsure,2,Hemiptera,0.001
Asparagus,ME,6/25/2015,2015,186,2,control,2,Hemiptera,0.001
Bunny,ME,6/25/2015,2015,186,2,excolsure,1,Hemiptera,0.002
Bunny,ME,6/25/2015,2015,186,2,control,1,Hemiptera,0.002
Bunny,ME,6/25/2015,2015,186,2,excolsure,2,Hemiptera,0.003
Bunny,ME,6/25/2015,2015,186,2,control,2,Hemiptera,0.002
Bunny,ME,6/25/2015,2015,186,2,excolsure,3,Hemiptera,0.002
Bunny,ME,6/25/2015,2015,186,2,control,3,Hemiptera,0.003
Asparagus,ME,6/25/2015,2015,186,2,excolsure,3,Hemiptera,0.007
Asparagus,ME,6/25/2015,2015,186,2,control,3,Hemiptera,0.001
Barn Island,CT,6/29/2015,2015,190,2,excolsure,1,Hemiptera,0.005
Barn Island,CT,6/29/2015,2015,190,2,control,1,Hemiptera,0.008
Barn Island,CT,6/29/2015,2015,190,2,excolsure,2,Hemiptera,0.011
Barn Island,CT,6/29/2015,2015,190,2,control,2,Hemiptera,0.015
Sachuest,RI,6/29/2015,2015,190,2,excolsure,1,Hemiptera,0.004
Sachuest,RI,6/29/2015,2015,190,2,control,1,Hemiptera,0.003
Sachuest,RI,6/29/2015,2015,190,2,excolsure,2,Hemiptera,0.012
Sachuest,RI,6/29/2015,2015,190,2,control,2,Hemiptera,0.003
Rachel Carson,ME,6/29/2015,2015,190,2,excolsure,3,Hemiptera,0.022
Rachel Carson,ME,6/29/2015,2015,190,2,control,3,Hemiptera,0.019
Sachuest,RI,6/29/2015,2015,190,2,excolsure,3,Hemiptera,0.002
Sachuest,RI,6/29/2015,2015,190,2,control,3,Hemiptera,0.005
Barn Island,CT,6/29/2015,2015,190,2,excolsure,3,Hemiptera,0.012
Barn Island,CT,6/29/2015,2015,190,2,control,3,Hemiptera,0.009
Hammo,CT,6/30/2015,2015,191,2,excolsure,1,Hemiptera,0.008
Hammo,CT,6/30/2015,2015,191,2,control,1,Hemiptera,0.015
Hammo,CT,6/30/2015,2015,191,2,excolsure,2,Hemiptera,0.012
Hammo,CT,6/30/2015,2015,191,2,control,2,Hemiptera,0.022
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,1,Hemiptera,0.01
Forsythe,NJ,6/30/2015,2015,191,2,control,1,Hemiptera,0.028
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,2,Hemiptera,0.02
Forsythe,NJ,6/30/2015,2015,191,2,control,2,Hemiptera,0.016
Hammo,CT,6/30/2015,2015,191,2,excolsure,3,Hemiptera,0.03
Hammo,CT,6/30/2015,2015,191,2,control,3,Hemiptera,0.011
Forsythe,NJ,6/30/2015,2015,191,2,excolsure,3,Hemiptera,0.026
Forsythe,NJ,6/30/2015,2015,191,2,control,3,Hemiptera,0.026
Chapman,NH,7/21/2015,2015,212,3,excolsure,1,Hemiptera,0
Chapman,NH,7/21/2015,2015,212,3,control,1,Hemiptera,0.084
Chapman,NH,7/21/2015,2015,212,3,excolsure,3,Hemiptera,0.086
Chapman,NH,7/21/2015,2015,212,3,control,3,Hemiptera,0.098
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,2,Hemiptera,0.045
Rachel Carson,ME,7/21/2015,2015,212,3,control,2,Hemiptera,0.096
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,3,Hemiptera,0.031
Rachel Carson,ME,7/21/2015,2015,212,3,control,3,Hemiptera,0.1
Chapman,NH,7/21/2015,2015,212,3,excolsure,2,Hemiptera,0.04
Chapman,NH,7/21/2015,2015,212,3,control,2,Hemiptera,0.047
Rachel Carson,ME,7/21/2015,2015,212,3,excolsure,1,Hemiptera,0.037
Rachel Carson,ME,7/21/2015,2015,212,3,control,1,Hemiptera,0.062
Asparagus,ME,7/22/2015,2015,213,3,excolsure,1,Hemiptera,0.024
Asparagus,ME,7/22/2015,2015,213,3,control,1,Hemiptera,0.018
Asparagus,ME,7/22/2015,2015,213,3,excolsure,2,Hemiptera,0.02
Asparagus,ME,7/22/2015,2015,213,3,control,2,Hemiptera,0.022
Bunny,ME,7/22/2015,2015,213,3,excolsure,2,Hemiptera,0.023
Bunny,ME,7/22/2015,2015,213,3,control,2,Hemiptera,0.01
Bunny,ME,7/22/2015,2015,213,3,excolsure,3,Hemiptera,0.048
Bunny,ME,7/22/2015,2015,213,3,control,3,Hemiptera,0.028
Asparagus,ME,7/22/2015,2015,213,3,excolsure,3,Hemiptera,0.048
Asparagus,ME,7/22/2015,2015,213,3,control,3,Hemiptera,0.015
Bunny,ME,7/22/2015,2015,213,3,excolsure,1,Hemiptera,0.028
Bunny,ME,7/22/2015,2015,213,3,control,1,Hemiptera,0.03
Barn Island,CT,7/28/2015,2015,219,3,excolsure,1,Hemiptera,0.005
Barn Island,CT,7/28/2015,2015,219,3,control,1,Hemiptera,0.021
Barn Island,CT,7/28/2015,2015,219,3,excolsure,3,Hemiptera,0.009
Barn Island,CT,7/28/2015,2015,219,3,control,3,Hemiptera,0.012
Sachuest,RI,7/28/2015,2015,219,3,excolsure,2,Hemiptera,0.005
Sachuest,RI,7/28/2015,2015,219,3,control,2,Hemiptera,0.007
Sachuest,RI,7/28/2015,2015,219,3,excolsure,3,Hemiptera,0.009
Sachuest,RI,7/28/2015,2015,219,3,control,3,Hemiptera,0.008
Sachuest,RI,7/28/2015,2015,219,3,excolsure,1,Hemiptera,0.005
Sachuest,RI,7/28/2015,2015,219,3,control,1,Hemiptera,0.007
Barn Island,CT,7/28/2015,2015,219,3,excolsure,2,Hemiptera,0.009
Barn Island,CT,7/28/2015,2015,219,3,control,2,Hemiptera,0.008
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,1,Hemiptera,0.01
Forsythe,NJ,7/29/2015,2015,220,3,control,1,Hemiptera,0.002
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,2,Hemiptera,0.005
Forsythe,NJ,7/29/2015,2015,220,3,control,2,Hemiptera,0.007
Hammo,CT,7/29/2015,2015,220,3,excolsure,2,Hemiptera,0.016
Hammo,CT,7/29/2015,2015,220,3,control,2,Hemiptera,0.017
Hammo,CT,7/29/2015,2015,220,3,excolsure,3,Hemiptera,0.004
Hammo,CT,7/29/2015,2015,220,3,control,3,Hemiptera,0.016
Forsythe,NJ,7/29/2015,2015,220,3,excolsure,3,Hemiptera,0.002
Forsythe,NJ,7/29/2015,2015,220,3,control,3,Hemiptera,0.002
Hammo,CT,7/29/2015,2015,220,3,excolsure,1,Hemiptera,0.035
Hammo,CT,7/29/2015,2015,220,3,control,1,Hemiptera,0.015
Barn Island,CT,8/24/2015,2015,246,4,excolsure,1,Hemiptera,0.021
Barn Island,CT,8/24/2015,2015,246,4,control,1,Hemiptera,0.009
Barn Island,CT,8/24/2015,2015,246,4,control,3,Hemiptera,0.001
Barn Island,CT,8/24/2015,2015,246,4,excolsure,3,Hemiptera,0.002
Sachuest,RI,8/24/2015,2015,246,4,excolsure,3,Hemiptera,0.005
Sachuest,RI,8/24/2015,2015,246,4,control,3,Hemiptera,0.011
Hammo,CT,8/24/2015,2015,246,4,excolsure,2,Hemiptera,0.025
Hammo,CT,8/24/2015,2015,246,4,control,2,Hemiptera,0.015
Hammo,CT,8/24/2015,2015,246,4,excolsure,3,Hemiptera,0.013
Hammo,CT,8/24/2015,2015,246,4,control,3,Hemiptera,0.015
Sachuest,RI,8/24/2015,2015,246,4,excolsure,1,Hemiptera,0.011
Sachuest,RI,8/24/2015,2015,246,4,control,1,Hemiptera,0.006
Hammo,CT,8/24/2015,2015,246,4,excolsure,1,Hemiptera,0.033
Hammo,CT,8/24/2015,2015,246,4,control,1,Hemiptera,0.01
Barn Island,CT,8/24/2015,2015,246,4,excolsure,2,Hemiptera,0.008
